,trackId,trackTitle,artistName,genre,nearest_trackId,nearest_trackTitle,nearest_artistName,nearest_genre,min_distance
121,42213095,The Cure,Lady Gaga,pop,42653391,Malibu,Miley Cyrus,pop,0.14586380536419208
122,46858774,At Last,Etta James,pop,47021261,A Sunday Kind Of Love,Etta James,pop,0.18082544214131857
123,47449369,A Change Is Gonna Come,Sam Cooke,pop,46858676,What's Going On,Marvin Gaye,rnb,0.1379074021536657
124,34822937,Toxicity (Album Version),System Of A Down,pop,34822928,Chop Suey! (Album Version),System Of A Down,pop,0.028304039281183635
125,41547824,The House Of The Rising Sun,The Animals,pop,33427312,"Paint It, Black",The Rolling Stones,rock,0.2160919004695656
126,40783755,Love And Happiness,Al Green,rnb,34899695,"For the Love of You, Pts. 1 & 2",The Isley Brothers,pop,0.12704454924744113
127,41460966,My Girl,The Temptations,rnb,29060663,Ain't Too Proud To Beg,The Temptations,rnb,0.16434093398664007
128,47022376,Whole Lotta Love,Led Zeppelin,rock,53750167,Kashmir,Led Zeppelin,rock,0.07333922540039783
129,51090738,Purple Haze,Jimi Hendrix,rock,55810917,Voodoo Child (Slight Return),Jimi Hendrix,rock,0.06486271260925547
130,46861847,Way Down We Go,Kaleo,alternative,38931364,I Can't Go On Without You,Kaleo,alternative,0.1853230771819353
131,46953869,Bad Moon Rising,Creedence Clearwater Revival,rock,29063128,Have You Ever Seen The Rain?,Creedence Clearwater Revival,rock,0.14286447339613295
132,40310014,Party In The U.S.A.,Miley Cyrus,pop,38006682,The Climb,Miley Cyrus,pop,0.21901614485625842
133,38006682,The Climb,Miley Cyrus,pop,40310014,Party In The U.S.A.,Miley Cyrus,pop,0.21901614485625842
134,46865146,Like a Rolling Stone,Bob Dylan,pop,55810916,All Along the Watchtower,Jimi Hendrix,rock,0.17875468408344652
135,29094852,Ophelia,The Lumineers,pop,29094810,Stubborn Love,The Lumineers,pop,0.2962312246038381
136,29086176,Run to the Hills (1998 Remastered Version),Iron Maiden,rock,46928173,The Number Of The Beast (1998 Remastered Version),Iron Maiden,rock,0.057864114697113056
137,34899695,"For the Love of You, Pts. 1 & 2",The Isley Brothers,pop,34899737,"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,pop,0.075926812133145
138,37952946,(Don't Fear) The Reaper,Blue Öyster Cult,rock,33426159,Sympathy For The Devil,The Rolling Stones,rock,0.2371940674941282
139,46952360,Ace Of Spades,Motörhead,rock,46924245,The Trooper (1998 Remastered Version),Iron Maiden,rock,0.13656959809636626
140,29040220,"No Woman, No Cry",Bob Marley & The Wailers,reggae,54499191,Three Little Birds,Bob Marley & The Wailers,reggae,0.14498656901156914
141,48896670,Money (2011 Remastered Version),Pink Floyd,pop,48896715,"Another Brick In The Wall, Pt. 2 (2011 Remastered Version)",Pink Floyd,pop,0.08079623647633027
142,47815251,Hey Joe,Jimi Hendrix,rock,55810923,Little Wing,Jimi Hendrix,rock,0.1776609749121827
143,46873854,Lovely Day,Bill Withers,pop,11183466,As,Stevie Wonder,rnb,0.18965265789387253
144,46985529,Cocaine,Eric Clapton,rock,46985525,Sunshine Of Your Love,Cream,rock,0.21866825869843687
145,40778548,Paranoid,Black Sabbath,rock,47021901,Holy Diver,Dio,rock,0.1374204764531496
146,29041012,Norf Norf,Vince Staples,hiphop,50792386,Get The Fuck Off My Dick,Vince Staples,hiphop,0.32769350483844195
147,46858674,Try A Little Tenderness (LP Version),Otis Redding,soul,46864635,(Sittin' On) The Dock Of The Bay (LP Version),Otis Redding,soul,0.23547921642124747
148,29055269,It Was A Good Day,Ice Cube,hiphop,29055239,Check Yo Self,Ice Cube,hiphop,0.22013627865450935
149,33429813,Start Me Up,The Rolling Stones,rock,32593519,Another One Bites The Dust,Queen,rock,0.20857001212996507
150,39413123,Xxplosive,Dr. Dre,hiphop,29055338,You Know How We Do It (Digitally Remastered 03),Ice Cube,hiphop,0.16272869973821824
151,47059335,Nothing Else Matters,Metallica,rock,47059332,The Unforgiven,Metallica,rock,0.08667976488626217
152,29055398,No Vaseline,Ice Cube,hiphop,29055338,You Know How We Do It (Digitally Remastered 03),Ice Cube,hiphop,0.13409273893509244
153,34822954,B.Y.O.B.,System Of A Down,pop,34822937,Toxicity (Album Version),System Of A Down,pop,0.03880114309952454
154,47073159,Fortunate Son,Creedence Clearwater Revival,rock,46953869,Bad Moon Rising,Creedence Clearwater Revival,rock,0.20422050873680309
155,46985525,Sunshine Of Your Love,Cream,rock,51090738,Purple Haze,Jimi Hendrix,rock,0.1801024667225184
156,33525528,Boogie Wonderland,"Earth, Wind & Fire",pop,47249898,Let's Groove (Album Version),"Earth, Wind & Fire",pop,0.15358206064676527
157,11183466,As,Stevie Wonder,rnb,48796826,Voyage to Atlantis,The Isley Brothers,pop,0.18732339483977278
158,29040216,Layla,Eric Clapton,rock,49622249,Tears In Heaven,Eric Clapton,rock,0.21164826783030977
159,47408646,Warning,The Notorious B.I.G.,hiphop,47408883,I Love The Dough (feat. Jay-Z & Angela Winbush) [2014 Remastered Version],The Notorious B.I.G.,hiphop,0.12037083393080239
160,47020129,Simple Man,Lynyrd Skynyrd,rock,47449680,Tuesday's Gone,Lynyrd Skynyrd,rock,0.14005998058248526
161,55221138,I Got You (I Feel Good),James Brown,rnb,41620965,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,pop,0.24792950930061253
162,41123997,Walk,Kwabs,alternative,31906613,The Hanging Tree,James Newton Howard,score,0.3438236891165011
163,47074351,Pineapple Skies,Miguel,rnb,45001002,Sky Walker,Miguel,rnb,0.29479612458344073
164,53750215,Immigrant Song,Led Zeppelin,rock,53750167,Kashmir,Led Zeppelin,rock,0.10640878963453981
